Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,TestSMTP\TestSMTP.csproj,File,TestSMTP\TestSMTP.csproj,,,Microsoft.Extensions.Configuration.UserSecrets 8.0.0,,,,,"Microsoft.Extensions.Configuration.UserSecrets, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration.UserSecrets, and replace with new package Microsoft.Extensions.Configuration.UserSecrets 10.0.11"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,TestSMTP\TestSMTP.csproj,File,TestSMTP\TestSMTP.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
